Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
  -> New best model saved (100.0%)
Ep      40 | Rew    1.96 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 156
Ep      60 | Rew    1.82 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 230
Ep      80 | Rew    1.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 305
Ep     100 | Rew    1.74 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 384
Ep     120 | Rew    1.75 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 456
Ep     140 | Rew    1.93 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 528
Ep     160 | Rew    1.85 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 599
Ep     180 | Rew    1.89 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 677
Ep     200 | Rew    1.79 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 753
Ep     220 | Rew    1.87 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 828
Ep     240 | Rew    1.85 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 904
Ep     260 | Rew    1.88 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 981
Ep     280 | Rew    1.83 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1059
Ep     300 | Rew    1.80 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1131
Ep     320 | Rew    1.88 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1205
Ep     340 | Rew    1.85 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1279
Ep     360 | Rew    1.87 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1353
Ep     380 | Rew    1.84 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1424
Ep     400 | Rew    1.79 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1498
Ep     420 | Rew    1.87 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1567
Ep     440 | Rew    1.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1640
Ep     460 | Rew    1.76 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1715
Ep     480 | Rew    1.93 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1793
Ep     500 | Rew    1.73 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1862
Ep     520 | Rew    1.85 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1936
Ep     540 | Rew    1.84 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 2009
Ep     560 | Rew    1.73 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 2084
Ep     580 | Rew    1.89 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 2154
Ep     600 | Rew    1.98 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 2229
Ep     620 | Rew    1.78 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2307
Ep     640 | Rew    1.84 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 2386
Ep     660 | Rew    1.83 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 2467
Ep     680 | Rew    1.90 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2545
Ep     700 | Rew    1.84 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 2624
Ep     720 | Rew    1.87 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 2695
Ep     740 | Rew    1.92 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 2769
Ep     760 | Rew    1.88 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 2844
Ep     780 | Rew    1.81 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 2918
Ep     800 | Rew    1.87 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2995
Ep     820 | Rew    1.81 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3075
Ep     840 | Rew    2.08 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 3147
Ep     860 | Rew    1.93 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3224
Ep     880 | Rew    1.92 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3303
Ep     900 | Rew    1.89 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3380
Ep     920 | Rew    1.90 | Win% 100.0 | Len 4.4 | Info 11.18b | Beta 10.00 | Steps 3468
Ep     940 | Rew    1.87 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 3539
Ep     960 | Rew    1.97 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 3609
Ep     980 | Rew    1.90 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3690
Ep    1000 | Rew    1.87 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 3765
Ep    1020 | Rew    2.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3844
Ep    1040 | Rew    1.89 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3922
Ep    1060 | Rew    1.81 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 4001
Ep    1080 | Rew    1.99 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 4072
Ep    1100 | Rew    1.96 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 4153
Ep    1120 | Rew    1.96 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 4228
Ep    1140 | Rew    1.89 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 4304
Ep    1160 | Rew    1.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 4384
Ep    1180 | Rew    1.91 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.99 | Steps 4454
Ep    1200 | Rew    1.82 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 4531
Ep    1220 | Rew    1.87 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 4611
Ep    1240 | Rew    1.99 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 4691
Ep    1260 | Rew    1.87 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 4768
Ep    1280 | Rew    1.85 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 4843
Ep    1300 | Rew    1.74 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 4919
Ep    1320 | Rew    1.88 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 4996
Ep    1340 | Rew    1.84 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 5071
Ep    1360 | Rew    1.84 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 5149
Ep    1380 | Rew    1.89 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 5223
Ep    1400 | Rew    1.81 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 5299
Ep    1420 | Rew    1.77 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 5371
Ep    1440 | Rew    1.94 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 5449
Ep    1460 | Rew    1.80 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.99 | Steps 5517
Ep    1480 | Rew    1.71 | Win%  95.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 5594
Ep    1500 | Rew    1.86 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 5667
Ep    1520 | Rew    1.78 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 5746
Ep    1540 | Rew    1.83 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 5818
Ep    1560 | Rew    1.85 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 5897
Ep    1580 | Rew    1.89 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 5974
Ep    1600 | Rew    2.01 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 6049
Ep    1620 | Rew    1.95 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 6126
Ep    1640 | Rew    1.94 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 6202
Ep    1660 | Rew    1.82 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 6274
Ep    1680 | Rew    1.93 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6351
Ep    1700 | Rew    1.79 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 6430
Ep    1720 | Rew    1.94 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 6510
Ep    1740 | Rew    1.81 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 6581
Ep    1760 | Rew    1.84 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 6655
Ep    1780 | Rew    2.04 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 6731
Ep    1800 | Rew    1.89 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6808
Ep    1820 | Rew    1.95 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 6880
Ep    1840 | Rew    1.90 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 6958
Ep    1860 | Rew    1.83 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 7032
Ep    1880 | Rew    1.95 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 7108
Ep    1900 | Rew    1.82 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 7184
Ep    1920 | Rew    1.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 7264
